epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7071,2.25138,3.46409,1.98962,0.75317,0.29534,0.30114,0.09231,2.16748,4.02245,2.62607,0.00010002,0.00010002,0.00010002
2,29.4753,1.86914,2.14745,1.73876,0.86198,0.84259,0.85727,0.38036,1.79153,2.49824,1.76406,0.000214028,0.000214028,0.000214028
3,32.7575,1.73174,1.70061,1.61486,0.86715,0.87037,0.87061,0.43465,1.72473,2.04878,1.72515,0.000325148,0.000325148,0.000325148
4,35.6384,1.6916,1.41996,1.49581,0.9761,0.85185,0.91909,0.49026,1.75508,1.78764,1.62889,0.00043338,0.00043338,0.00043338
5,38.2177,1.63858,1.29632,1.48331,0.95904,0.82762,0.9127,0.47928,1.70335,1.56409,1.73828,0.000538724,0.000538724,0.000538724
6,42.1703,1.60795,1.14469,1.38752,0.62128,0.84259,0.74802,0.36841,1.67889,1.63149,1.67436,0.00064118,0.00064118,0.00064118
7,45.0816,1.60175,1.09786,1.47507,0.71325,0.75862,0.74035,0.38947,1.72543,1.78379,1.7443,0.000740748,0.000740748,0.000740748
8,47.9327,1.56518,1.07278,1.46308,0.83611,0.76852,0.86894,0.43998,1.72504,1.37167,1.79807,0.000837428,0.000837428,0.000837428
9,50.4726,1.53926,1.04796,1.47474,0.91894,0.61077,0.75651,0.37557,1.8113,1.77326,1.80338,0.00093122,0.00093122,0.00093122
10,52.8573,1.58477,1.01943,1.47226,0.78884,0.69021,0.75377,0.38614,1.82637,1.67529,1.88596,0.00102212,0.00102212,0.00102212
11,55.2655,1.54856,0.96506,1.4424,0.89551,0.73739,0.82703,0.34311,1.92317,1.43017,2.02971,0.00111014,0.00111014,0.00111014
12,58.2012,1.54046,1.04881,1.49413,0.91273,0.63165,0.78512,0.39589,1.84812,1.51572,1.93815,0.00119527,0.00119527,0.00119527
13,60.9148,1.56559,1.01111,1.47612,0.98967,0.7963,0.92968,0.4941,1.71737,1.1424,1.84555,0.00127751,0.00127751,0.00127751
14,63.402,1.53023,0.99725,1.43112,0.82001,0.88417,0.92014,0.48272,1.7769,1.21022,1.86393,0.00135686,0.00135686,0.00135686
15,65.8055,1.48673,0.97743,1.41577,0.85766,0.76782,0.88274,0.41908,1.87926,1.36449,1.93951,0.00137819,0.00137819,0.00137819
16,68.2416,1.57565,0.99813,1.45749,0.26241,0.65741,0.29574,0.15161,1.75465,2.67232,1.84788,0.00135756,0.00135756,0.00135756
17,71.3565,1.56678,0.9385,1.47151,0.34435,0.65741,0.29462,0.10357,2.0677,5.94532,2.24565,0.00133693,0.00133693,0.00133693
18,74.0475,1.53144,0.94335,1.41148,0.83748,0.83333,0.87033,0.40085,1.8582,1.16176,1.97663,0.0013163,0.0013163,0.0013163
19,76.4958,1.45881,0.93515,1.43839,0.74622,0.79688,0.86439,0.44737,1.7662,1.0985,1.95833,0.00129568,0.00129568,0.00129568
20,78.9011,1.46219,0.87915,1.4732,0.94428,0.75926,0.89495,0.46891,1.76484,1.06718,1.92101,0.00127505,0.00127505,0.00127505
21,81.2782,1.47406,0.89789,1.43466,0.96707,0.77778,0.9039,0.42831,1.86311,1.03485,2.02327,0.00125442,0.00125442,0.00125442
22,84.421,1.43513,0.87712,1.45642,0.82655,0.83333,0.88825,0.50303,1.58511,0.91303,1.67865,0.00123379,0.00123379,0.00123379
23,87.1247,1.44657,0.84955,1.4308,0.75845,0.92593,0.88886,0.48207,1.66603,0.96311,1.77997,0.00121316,0.00121316,0.00121316
24,89.5907,1.43162,0.834,1.38654,0.93819,0.77778,0.90899,0.46617,1.69381,0.87728,1.76455,0.00119253,0.00119253,0.00119253
